fish_indiv,date,anem_id,old_anem_id,anem_obs,second_year,later_year
1754,16942,2288,NA,371,FALSE,FALSE
1459,16940,1271,NA,101,FALSE,FALSE
1459,17308,2281,NA,364,FALSE,FALSE
1461,16948,2312,NA,394,TRUE,NA
1461,17311,2313,NA,395,TRUE,NA
1461,17619,2669,NA,540,TRUE,NA
1468,16957,2069,NA,227,FALSE,FALSE
1468,17611,2702,NA,561,FALSE,FALSE
1470,16957,2495,NA,406,FALSE,FALSE
1470,17600,3008,2494,NA,FALSE,FALSE
1474,16957,2495,240,406,FALSE,FALSE
1474,17316,2715,NA,564,FALSE,FALSE
1477,16585,419,NA,769,NA,NA
1477,16937,2238,359,333,NA,NA
1477,16957,423,NA,772,NA,NA
1477,17594,2238,NA,333,NA,NA
1478,16957,2498,NA,NA,NA,NA
1478,17316,2710,1048,NA,NA,NA
1478,17600,3010,NA,NA,NA,NA
1478,17611,3166,NA,NA,NA,NA
1481,16957,2490,428,444,NA,NA
1481,17301,2490,NA,444,NA,NA
1481,17306,2489,NA,443,NA,NA
1481,17595,2489,426,443,NA,NA
1491,17608,3117,NA,718,NA,NA
1491,17630,3117,NA,718,NA,NA
1529,17612,2279,NA,361,TRUE,NA
1529,17631,3172,NA,100,TRUE,NA
2212,16600,536,NA,849,TRUE,NA
2212,17602,3030,1159,NA,TRUE,NA
1588,17605,2877,NA,654,TRUE,NA
1588,17620,3207,NA,NA,TRUE,NA
2170,16243,573,NA,881,FALSE,FALSE
2170,17606,3082,NA,NA,FALSE,FALSE
1659,16935,2209,NA,304,NA,NA
1659,17306,2640,1033,19,NA,NA
1659,17328,2642,NA,518,NA,NA
1659,17621,2642,NA,518,NA,NA
1663,17298,2309,NA,390,NA,NA
1663,17330,2309,NA,390,NA,NA
1668,17299,2596,NA,489,TRUE,NA
1668,17328,2585,NA,50,TRUE,NA
1668,17598,2967,NA,NA,TRUE,NA
1669,17299,2560,NA,NA,FALSE,FALSE
1669,17328,2585,NA,50,FALSE,FALSE
1669,17599,2041,NA,213,FALSE,FALSE
1669,17626,2892,NA,667,FALSE,FALSE
1671,17299,2038,NA,210,NA,NA
1671,17300,1063,NA,33,NA,NA
1671,17328,2579,NA,480,NA,NA
1671,17598,2887,NA,663,NA,NA
1671,17599,2885,NA,661,NA,NA
1671,17599,2988,NA,NA,NA,NA
1671,17622,2965,181,171,NA,NA
1671,17626,3228,666,NA,NA,NA
1672,17300,1063,NA,33,NA,NA
1672,17599,2990,662,707,NA,NA
1672,17626,2990,NA,707,NA,NA
1677,17300,1063,NA,33,TRUE,NA
1677,17626,2990,NA,707,TRUE,NA
1684,17301,2615,NA,498,NA,NA
1684,17328,2615,NA,498,NA,NA
1684,17597,2615,NA,498,NA,NA
1685,17321,2151,NA,256,NA,NA
1685,17608,2151,NA,256,NA,NA
1691,17321,2790,NA,601,NA,NA
1691,17630,2790,NA,601,NA,NA
1693,17321,2794,797,605,NA,NA
1693,17601,2794,NA,605,NA,NA
1693,17630,2793,NA,604,NA,NA
1696,17321,2802,813,NA,FALSE,FALSE
1696,17601,2187,NA,283,FALSE,FALSE
1698,17322,2897,NA,NA,NA,NA
1698,17601,3019,817,NA,NA,NA
1706,17322,2162,NA,265,TRUE,NA
1706,17602,2826,534,624,TRUE,NA
1714,17322,2826,534,624,NA,NA
1714,17602,2826,534,624,NA,NA
1724,17323,2837,NA,632,NA,NA
1724,17605,2837,NA,632,NA,NA
1724,17620,2837,NA,632,NA,NA
1732,17327,2878,NA,655,NA,NA
1732,17605,2846,NA,638,NA,NA
1732,17625,2846,NA,638,NA,NA
1746,17300,2047,NA,218,NA,NA
1746,17599,2973,NA,703,NA,NA
1746,17626,2973,NA,703,NA,NA
1752,17304,2228,NA,323,TRUE,NA
1752,17595,2946,NA,NA,TRUE,NA
1755,16955,2471,NA,428,FALSE,FALSE
1755,17600,2724,NA,572,FALSE,FALSE
1755,17622,2472,NA,429,FALSE,FALSE
1756,16956,2474,NA,431,TRUE,NA
1756,17622,2731,NA,579,TRUE,NA
1757,16586,1130,NA,60,TRUE,NA
1757,16967,2287,NA,370,TRUE,NA
1758,16967,2579,NA,480,TRUE,NA
1758,17299,2589,NA,NA,TRUE,NA
1758,17622,3219,892,1028,TRUE,NA
1775,16955,2467,NA,424,NA,NA
